中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
138.2.66.92,443,138.2.66.92,SG,Singapore,中转,243 ms,55 Mbps,7103 kB/s,7103.0
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,191 ms,51 Mbps,6640 kB/s,6640.0
8.219.80.184,443,8.219.80.184,SG,Singapore,中转,271 ms,51 Mbps,6576 kB/s,6576.0
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,90 ms,48 Mbps,6152 kB/s,6152.0
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,103 ms,46 Mbps,5990 kB/s,5990.0
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,86 ms,46 Mbps,5983 kB/s,5983.0
132.226.31.178,443,2a09:bac5:60e9:1173::1bd:119,US,Los Angeles,隧道,62 ms,46 Mbps,5940 kB/s,5940.0
129.159.34.122,443,129.159.34.122,US,San Jose,中转,83 ms,45 Mbps,5875 kB/s,5875.0
130.162.228.90,443,130.162.228.90,DE,Frankfurt,中转,104 ms,45 Mbps,5768 kB/s,5768.0
129.154.59.99,443,129.154.59.99,KR,Seoul,中转,185 ms,44 Mbps,5652 kB/s,5652.0
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,92 ms,44 Mbps,5649 kB/s,5649.0
140.238.212.95,443,140.238.212.95,CH,Milan,中转,106 ms,44 Mbps,5639 kB/s,5639.0
168.138.50.249,443,168.138.50.249,JP,Osaka,中转,209 ms,41 Mbps,5360 kB/s,5360.0
158.180.65.145,443,2603:c024:e:6666::6666,KR,Seoul,隧道,221 ms,41 Mbps,5358 kB/s,5358.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,213 ms,41 Mbps,5349 kB/s,5349.0
129.159.194.174,443,129.159.32.14,US,San Jose,隧道,97 ms,41 Mbps,5289 kB/s,5289.0
152.67.231.219,443,152.67.231.219,US,San Jose,中转,71 ms,40 Mbps,5233 kB/s,5233.0
158.178.238.239,443,158.178.238.239,SG,Singapore,中转,260 ms,38 Mbps,4888 kB/s,4888.0
158.101.141.78,443,158.101.141.78,JP,Tokyo,中转,278 ms,37 Mbps,4854 kB/s,4854.0
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,212 ms,35 Mbps,4545 kB/s,4545.0
138.3.215.28,443,129.159.32.14,US,San Jose,隧道,229 ms,35 Mbps,4524 kB/s,4524.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,257 ms,35 Mbps,4517 kB/s,4517.0
146.56.46.84,443,2603:c022:8007:a810::dcba,KR,Seoul,隧道,240 ms,35 Mbps,4507 kB/s,4507.0
129.154.46.115,443,104.28.201.82,IN,Hyderabad,隧道,243 ms,35 Mbps,4500 kB/s,4500.0
146.56.101.141,443,146.56.101.141,KR,Seoul,中转,203 ms,34 Mbps,4479 kB/s,4479.0
150.230.196.248,443,150.230.196.248,JP,Tokyo,中转,268 ms,34 Mbps,4384 kB/s,4384.0
141.145.217.226,443,141.145.217.226,FR,Paris,中转,95 ms,33 Mbps,4347 kB/s,4347.0
