中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,276 ms,2 Mbps,357 kB/s,357.0
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,216 ms,2 Mbps,339 kB/s,339.0
141.147.147.180,443,141.147.147.180,JP,Osaka,中转,214 ms,2 Mbps,310 kB/s,310.0
47.254.65.110,443,47.254.65.110,US,San Jose,中转,73 ms,1 Mbps,251 kB/s,251.0
47.91.18.127,443,47.91.18.127,JP,Tokyo,中转,152 ms,1 Mbps,156 kB/s,156.0
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,205 ms,0 Mbps,107 kB/s,107.0
193.122.107.147,443,193.122.107.147,KR,Seoul,中转,210 ms,0 Mbps,91 kB/s,91.0
158.180.89.73,443,2603:c024:e:6666::8888,KR,Seoul,隧道,204 ms,0 Mbps,83 kB/s,83.0
146.56.179.91,443,146.56.179.91,KR,Seoul,中转,226 ms,0 Mbps,65 kB/s,65.0
8.210.92.27,443,8.210.92.27,HK,Hong Kong,中转,232 ms,0 Mbps,6 kB/s,6.0
8.222.165.104,443,8.222.165.104,SG,Singapore,中转,252 ms,0 Mbps,6 kB/s,6.0
138.3.254.39,443,138.3.254.39,DE,188 Mbps,24166 kB/s,,,,
